uni3041	U+3041	ぁ
uni3042	U+3042	あ
uni3043	U+3043	ぃ
uni3044	U+3044	い
uni3045	U+3045	ぅ
uni3046	U+3046	う
uni3047	U+3047	ぇ
uni3048	U+3048	え
uni3049	U+3049	ぉ
uni304A	U+304A	お
uni304B	U+304B	か
uni304C	U+304C	が
uni304D	U+304D	き
uni304E	U+304E	ぎ
uni304F	U+304F	く
uni3050	U+3050	ぐ
uni3051	U+3051	け
uni3052	U+3052	げ
uni3053	U+3053	こ
uni3054	U+3054	ご
uni3055	U+3055	さ
uni3056	U+3056	ざ
uni3057	U+3057	し
uni3058	U+3058	じ
uni3059	U+3059	す
uni305A	U+305A	ず
uni305B	U+305B	せ
uni305C	U+305C	ぜ
uni305D	U+305D	そ
uni305E	U+305E	ぞ
uni305F	U+305F	た
uni3060	U+3060	だ
uni3061	U+3061	ち
uni3062	U+3062	ぢ
uni3063	U+3063	っ
uni3064	U+3064	つ
uni3065	U+3065	づ
uni3066	U+3066	て
uni3067	U+3067	で
uni3068	U+3068	と
uni3069	U+3069	ど
uni306A	U+306A	な
uni306B	U+306B	に
uni306C	U+306C	ぬ
uni306D	U+306D	ね
uni306E	U+306E	の
uni306F	U+306F	は
uni3070	U+3070	ば
uni3071	U+3071	ぱ
uni3072	U+3072	ひ
uni3073	U+3073	び
uni3074	U+3074	ぴ
uni3075	U+3075	ふ
uni3076	U+3076	ぶ
uni3077	U+3077	ぷ
uni3078	U+3078	へ
uni3079	U+3079	べ
uni307A	U+307A	ぺ
uni307B	U+307B	ほ
uni307C	U+307C	ぼ
uni307D	U+307D	ぽ
uni307E	U+307E	ま
uni307F	U+307F	み
uni3080	U+3080	む
uni3081	U+3081	め
uni3082	U+3082	も
uni3083	U+3083	ゃ
uni3084	U+3084	や
uni3085	U+3085	ゅ
uni3086	U+3086	ゆ
uni3087	U+3087	ょ
uni3088	U+3088	よ
uni3089	U+3089	ら
uni308A	U+308A	り
uni308B	U+308B	る
uni308C	U+308C	れ
uni308D	U+308D	ろ
uni308E	U+308E	ゎ
uni308F	U+308F	わ
uni3090	U+3090	ゐ
uni3091	U+3091	ゑ
uni3092	U+3092	を
uni3093	U+3093	ん
uni3094	U+3094	ゔ
uni3095	U+3095	ゕ
uni3096	U+3096	ゖ
uni309D	U+309D	ゝ
uni309E	U+309E	ゞ
uni309F	U+309F	ゟ
uni30A1	U+30A1	ァ
uni30A2	U+30A2	ア
uni30A3	U+30A3	ィ
